name,email,lattes
Adelmir Fiabani,Doutor (no Brasil),Ciência Política
Alessandra Regina Müller Germani,Doutora (no Brasil),Saúde Coletiva e Contexto Social e Profissional da Enfermagem
Alexandre Bueno da Silva,Mestre (Academia Brasileira de Letras),Clínica Cirúrgica
Alison Blum Saraiva,Especialista,Clínica Médica
Amauri Braga Simonetti,Doutor (no Brasil),Microbiologia Humana
Ana Luísa Casado Brasil Dozza,Mestra (Academia Brasileira de Letras),Neurocirurgia / Neurologia
Ana Paula Corrêa Meira,Mestra (Academia Brasileira de Letras),Pediatria
Ana Silvia Meira,Especialista,Gastroenterologia
Andréia Jacobo,Mestra (Academia Brasileira de Letras),Ginecologia e Obstetrícia
Antonio Marcos de Almeida,Mestre (Academia Brasileira de Letras),Medicina de Família e Comunidade
Athany Gutierres,Doutora (no Brasil),Língua Inglesa
Bibiana Callegaro Fortes,Mestra (Academia Brasileira de Letras),Otorrinolaringologia
Bruna Chaves Lopes,Mestra (Academia Brasileira de Letras),Saúde Mental / Psiquiatria
Caroline Rizzi,Doutora (no Brasil),Morfofisiopatologia em Doenças Infecciosas
Cezar Augusto Caleffi Paiva,Mestre (Academia Brasileira de Letras),Reumatologia
Ciciliana Maíla Zilio Rech,Doutora (no Brasil),Clínica Médica
Claudete Maria Zanatta,Doutora (no Brasil),Clínica Médica
Cristiane Zanotelli,Especialista,Clínica Médica
Daniela Augustin Silveira,Mestra (Academia Brasileira de Letras),Patologia Humana
Daniela Teixeira Borges,Mestra (Academia Brasileira de Letras),Medicina de Família e Comunidade
Daniela de Linhares Garbin Higuchi,Especialista,Oftalmologia
Darlan Martins Lara,Mestre (Academia Brasileira de Letras),Clínica Médica
Eduardo Pitthan,Doutor (no Brasil),Clínica Médica
Felipe Diehl,Pós-Doutorado (no Brasil),Morfofisiologia Humana
Flávia Pereira Reginatto,Doutora (no Brasil),Dermatologia
Giani Cioccari,Especialista,Pediatria
Gilberto Tadeu Ferrugem de Oliveira Filho,Especialista,Anestesiologia / Farmacologia / Medicina Intensiva
Giovana Paula Bonfantti Donato,Doutora (no Brasil),Obstetrícia e Ginecologia
Gustavo Olszanski Acrani,Doutor (no Brasil),"Microbiologia, Imunologia, Parasitologia e Micologia"
Helena de Moraes Fernandes,Mestra (Academia Brasileira de Letras),Radiojornalismo
Ivana Loraine Lindemann,Doutora (no Brasil),Nutrição e Saúde Pública
Jaime Giolo,Pós-Doutorado (no Brasil),Política Educacional e Legislação do Ensino no Brasil
Jairo José Caovilla,Mestre (Academia Brasileira de Letras),Clínica Médica
Joana Stela Rovani de Moraes,Especialista,Clínica Médica
Jorge Roberto Marcante Carlotto,Doutor (no Brasil),Clínica Cirúrgica
Jossimara Polettini,Doutora (no Brasil),Patologia Humana e Processos Patológicos
José Francisco Martins Borges,Doutor (no Brasil),Filosofia
José Ribamar Fernandes Saraiva Junior,Mestre (Academia Brasileira de Letras),Medicina de Família e Comunidade
Julio Cesar Stobbe,Doutor (no Brasil),Clínica Médica
Jung Ho Kim,Mestre (Academia Brasileira de Letras),Ortopedia e Traumatologia
Laura Zanella Caús,Especialista,Obstetrícia e Ginecologia
Leandro Tuzzin,Mestre (Academia Brasileira de Letras),História Geral
Lieverson Augusto Guerra,Mestre (Academia Brasileira de Letras),Onco-Hematologia
Lisandra Scolaro,Especialista,Obstetrícia e Ginecologia
Lissandra Glusczak,Doutora (no Brasil),Química de Macromoléculas
Lucimar Maria Fossatti de Carvalho,Doutora (no Brasil),Informática Básica e Estatística Básica
Luiz Artur da Rosa Filho,Mestre (Academia Brasileira de Letras),Medicina de Família e Comunidade
Marcela Monteiro Gonçalves de Lima,Especialista,Pediatria
Marcelo Soares Fernandes,Doutor (no Brasil),Ciências Básicas da Saúde
Marindia Biffi,Mestra (Academia Brasileira de Letras),Medicina da Família e Comunidade
Nicolas Almeida Leal da Silva,Especialista,Urologia
Nilton Maiolini Bonadeo,Mestre (Academia Brasileira de Letras),Anatomia Humana
Rafael Kremer,Mestre (Academia Brasileira de Letras),"Morfofisiopatologia: Anatomia, Morfologia e Patologia"
Rafael de Souza Timmermann,Doutor (no Brasil),Comunicação e Saúde
Regina Inês Kunz,Doutora (no Brasil),Anatomia Humana
Renata dos Santos Rabello,Doutora (no Brasil),Saúde Coletiva / Epidemiologia / Saúde Pública
Rodrigo dos Santos Ferrari,Mestre (Academia Brasileira de Letras),Radiologia
Rogerio Tomasi Riffel,Mestre (Academia Brasileira de Letras),Saúde Mental e Psiquiatria
Ronaldo Andre Poerschke,Mestre (Academia Brasileira de Letras),Anatomia Humana
Roselei Graebin,Especialista,Cardiologia
Ruben Walter Branas Coelho,Especialista,Medicina de Família e Comunidade
Shana Ginar da Silva,Doutora (no Brasil),Saúde Coletiva / Epidemiologia / Saúde Pública
Silvane Nene Portela,Mestra (Academia Brasileira de Letras),Ginecologia e Obstetrícia
Sofia Carla Abelin Noskoski,Especialista,Ginecologia e Obstetrícia
Stefânia Simon Sostruznik,Especialista,Pediatria
Thieli Maldaner Budke,Especialista,Pediatria
Tiago Teixeira Simon,Especialista,Pneumologia
Vanderlei de Oliveira Farias,Doutor (no Brasil),Filosofia Moderna e Contemporânea
Vanderleia Laodete Pulga,Doutora (no Brasil),Saúde Coletiva
Wagnes Borges Franceschi,Mestre (Academia Brasileira de Letras),Clínica Cirúrgica
